NCBI Protein ID	UniProt_ID
NP_000229.1	Q15BH2
NP_000231.1	Q53YE7
NP_000246.2	A0A024RD82
NP_000246.2	B2R6K1
NP_000246.2	P22033
NP_000247.2	A5YM48
NP_000248.2	P12883
NP_000259.1	A0A024R1J8
NP_000260.1	A0A384MTW7
NP_000265.1	A0A140VJQ4
NP_000275.1	A0A024RBX9
NP_000294.1	A0A0S2Z4J6
NP_000294.1	Q59F02
NP_000304.2	A0A0S2Z4K3
NP_000304.2	P07225
NP_000308.1	Q03393
NP_000310.2	A0A0S2Z480
NP_000311.2	A0A140VKA9
NP_000320.1	Q16518
NP_000332.2	A0A0S2Z4E1
NP_000340.2	P49675
NP_000340.2	Q6IBK0
NP_000344.1	A0A140VKB7
NP_000344.1	P17735
NP_000354.4	P19429
NP_000354.4	Q6FGX2
NP_000356.1	Q53HE2
NP_000356.1	V9HWK1
NP_000358.1	A0A024QZW0
NP_000358.1	P51580
NP_000366.1	A0A0S2Z4T8
NP_000366.1	P10746
NP_000370.2	P47989
NP_000378.1	O43772
NP_000388.2	A0A0S2Z3S6
NP_000388.2	P04839
NP_000405.1	A0A0S2Z4J1
NP_000415.2	P13647
NP_000424.2	A0A0S2Z457
NP_000427.1	A0A024R040
NP_000445.1	P00441
NP_000445.1	V9HWC9
NP_000449.1	Q6FHW6
NP_000472.2	A0A024R2U7
NP_000486.1	A7MBN3
NP_000486.1	Q49AM6
NP_000488.3	Q8TDD0
NP_000489.3	P19099
NP_000516.3	B2RC52
NP_000518.1	A0A024R7D5
NP_000522.3	P00480
NP_000536.5	E0YMI7
NP_000536.5	P20823
NP_000544.2	Q14191
NP_000545.1	O43186
NP_000584.2	A0A0S2Z5A6
NP_000584.2	Q03518
NP_000584.2	X5CKB3
NP_000624.2	A0A024R2B3
NP_000628.2	V9HW90
NP_000648.2	A0A024R2C4
NP_000681.2	A0A384NPN7
NP_000683.3	A0A384MTJ7
NP_000683.3	P30837
NP_000700.1	A0A024R0K3
NP_000772.2	A0A0S2Z3R3
NP_000775.1	Q02318
NP_000776.1	O15528
NP_000808.2	A0A0S2Z3V5
NP_000808.2	Q8IVA8
NP_000853.1	P14060
NP_000874.2	B3KRZ3
NP_000909.2	A0A024R8S5
NP_000909.2	P07237
NP_000916.2	A0A384MDR8
NP_000932.3	P16435
NP_000968.2	A8K4C8
NP_000987.2	P18077
NP_001001557.1	A0A0S2A5D6
NP_001001557.1	Q6KF10
NP_001001563.1	A0A024R0M6
NP_001001660.2	Q6IPR1
NP_001002019.1	E5KMT6
NP_001002020.1	E5KMT6
NP_001002913.1	Q86Y79
NP_001003941.1	A0A140VJQ5
NP_001005361.1	Q8N1K8
NP_001008216.1	Q86WW8
NP_001008389.1	Q8N5K1
NP_001008394.1	Q504U0
NP_001009934.1	P49184
NP_001010867.1	Q5T440
NP_001010875.1	B3KSR0
NP_001010875.1	B3KTE8
NP_000131.2	Q7KZA3
NP_001012533.1	Q7KZA3
NP_001017928.1	Q4VC31
NP_001018004.1	O15513
NP_001018238.1	A0A0S2Z565
NP_000627.2	A0A384NL29
NP_001019636.1	A0A384NL29
NP_000039.2	A0A024RDL8
NP_001020114.1	A0A024RDL8
NP_001020117.1	A0A0S2Z316
NP_001020420.1	A0A0C4DGL3
NP_001010.2	B2R4W8
NP_001025180.1	B2R4W8
NP_001010.2	P62244
NP_001025180.1	P62244
NP_001026788.1	Q49B96
NP_001026851.2	A0A0S2Z3I9
NP_000447.2	A0A024RB79
NP_001027558.1	A0A024RB79
NP_001027559.1	A0A024RB79
NP_000447.2	P51687
NP_001027558.1	P51687
NP_001027559.1	P51687
NP_001029345.2	B4DTU7
NP_001030582.1	Q8N338
NP_001030590.1	A0A0S2Z4C9
NP_001031.2	B0FWH2
NP_001034937.1	Q6PI42
NP_001035521.1	A0A024R1X4
NP_001035521.1	Q9Y2R0
NP_001035526.1	Q9Y2Z4
NP_000077.1	A0A024QZB8
NP_001035897.1	A0A024QZB8
NP_001035940.1	Q3ZCQ5
NP_001035947.1	F5GZG6
NP_001036011.2	A8MRA7
NP_001036081.1	Q3MUY2
NP_001036162.1	A0A024RD64
NP_001036162.1	Q19AV6
NP_001036167.1	Q0ZLH3
NP_001041636.1	E5KP27
NP_001041637.1	E5KP28
NP_001068566.1	A0A024RD17
NP_001070148.1	A8MSI8
NP_001071.1	X5DQN2
NP_001073901.1	B3KU60
NP_001073901.1	Q99770
NP_001074318.1	Q5SXM8
NP_001075029.1	E5KR07
NP_001075031.1	E5KR05
NP_001089.1	Q99798
NP_001091947.1	A0A024RD99
NP_001091972.1	A0A024R2I5
NP_001093137.1	P0C7Q2
NP_001094344.1	A0A140VJQ1
NP_001095838.1	Q4LE40
NP_001098117.1	A0A384MEA9
NP_001098676.2	A0A0A0MQS9
NP_001098676.2	Q16363
NP_001099040.1	A8MXV4
NP_001099048.1	Q6PIF2
NP_001103408.1	A0A1U9X7F4
NP_001104262.1	A0A140VKC4
NP_001107227.1	B2RBL3
NP_001116106.1	B7ZAW0
NP_000300.1	P50336
NP_001116236.1	P50336
NP_000537.3	K7PPA8
NP_001119584.1	K7PPA8
NP_001119590.1	H2EHT1
NP_000537.3	Q53GA5
NP_001119584.1	Q53GA5
NP_001119585.1	Q53GA5
NP_001119586.1	Q53GA5
NP_001119587.1	Q53GA5
NP_001119588.1	Q53GA5
NP_001119589.1	Q53GA5
NP_001119590.1	Q53GA5
NP_001120865.1	A0A024R6N3
NP_000498.2	P09467
NP_001121100.1	P09467
NP_001121100.1	Q2TU34
NP_001121897.1	E5KP25
NP_001123882.1	A0A140VJX0
NP_001013454.1	A0A140VJX3
NP_001123989.1	A0A140VJX3
NP_001127917.1	B4E3V1
NP_001127965.1	Q96B49
NP_001128179.1	A8K596
NP_001055.1	V9HWD9
NP_001128527.1	V9HWD9
NP_001128582.1	B3KM81
NP_000745.1	A0A140VJG8
NP_001128633.1	A0A140VJG8
NP_001128634.1	A0A140VJG8
NP_001129511.1	A0A024R3V7
NP_001129524.1	A0A024QZI3
NP_001129970.1	P0C7P0
NP_001135747.1	A0A024R344
NP_001135747.1	Q8TAY1
NP_001135942.1	A0A0D9SEI0
NP_001136027.1	A0A024R0Q9
NP_001136277.1	Q59EV7
NP_001137277.1	A0A0E3SU01
NP_001137408.1	A6NNL5
NP_001138498.1	A0A087WZU1
NP_001138607.1	Q53FV7
NP_001138607.1	A5PLL0
NP_001138609.1	A5PLL0
NP_001138735.1	B2R5V0
NP_001139311.1	B4E3G8
NP_001139423.1	A0A2R8YDA8
NP_001139630.1	Q58F09
NP_001139748.1	A0A0A0MTJ9
NP_001139760.1	B7Z376
NP_001142.2	A0A0S2Z3H3
NP_001142.2	P12235
NP_001143.2	P05141
NP_001143.2	Q6NVC0
NP_001152980.1	A0A0S2Z4K7
NP_001154848.1	Q0P5T2
NP_001155058.1	B2R995
NP_001155252.1	Q6P1N1
NP_001157281.1	Q24JR4
NP_001157283.1	Q24JR4
NP_001157285.1	A0A2R8Y4V4
NP_001157286.1	A0A2R8Y746
NP_001157749.1	A8K0S7
NP_001157750.1	A0A024R3L1
NP_001157751.1	B4DUH2
NP_001157847.1	Q8TEF2
NP_001158255.1	Q59EI3
NP_001158283.1	L0R6F6
NP_001158283.1	Q6UWS5
NP_001158312.1	F5H189
NP_001158313.1	C9JRX8
NP_001158503.1	Q53F55
NP_000189.1	A0A024R0F9
NP_001159592.1	A0A024R0F9
NP_001159631.1	B7Z792
NP_001159762.1	Q14654
NP_001159830.1	Q5HYG8
NP_001159829.1	A0A024RB99
NP_001159830.1	A0A024RB99
NP_001159831.1	A0A024RB99
NP_001159831.1	B4DJQ3
NP_001159968.1	B4DKS0
NP_001161071.1	B3KR54
NP_001161072.1	B3KR54
NP_001161073.1	B3KR54
NP_001161074.1	B3KR54
NP_001161206.1	A0A1U9X9B3
NP_001163.1	A0A024R6A0
NP_001163.1	P78540
NP_001164626.1	P0DJ07
NP_001166115.1	B4DIW4
NP_001166116.1	B4E0Z4
NP_001171514.1	B8ZWD1
NP_001172022.1	B7Z410
NP_001179.1	A0A0S2Z391
NP_001180242.1	B4DJF0
NP_001182.1	Q5TE63
NP_001182060.1	H0UI37
NP_001182451.1	P0DKB6
NP_001182482.1	A8K340
NP_001182751.1	A0A024R159
NP_001185611.1	F6XY72
NP_001185808.1	B4DJ38
NP_001185808.1	G3V325
NP_001185891.1	F6RJU0
NP_000405.1	B2R659
NP_001186220.1	B2R659
NP_001186221.1	B2R659
NP_001186681.1	B3KU49
NP_001186689.1	A0A0A6YYL1
NP_001186887.1	A0A087WYD0
NP_001186916.1	A0A087WZX2
NP_001188502.1	B4DWB0
NP_001189431.1	B4DQI7
NP_001190180.1	A0A024RA19
NP_001190180.1	B3KTM0
NP_001190181.1	B3KTM0
NP_001190980.1	B4DHR4
NP_001191756.1	A0A087X0Z2
NP_001192177.1	B2RB13
NP_001192180.1	B2RB13
NP_001203.1	Q07021
NP_001227.1	O75828
NP_001227.1	V9HW40
NP_001229290.1	G3V1R5
NP_001229696.1	B7ZM99
NP_001229697.1	A0A087WVM4
NP_001229697.1	B2RD24
NP_000402.3	P50747
NP_001229713.1	P50747
NP_001229714.1	P50747
NP_001229754.1	A0A087X090
NP_000849.1	Q6IBG8
NP_001152862.1	Q6IBG8
NP_001152863.1	Q6IBG8
NP_001229768.1	Q6IBG8
NP_001229831.1	B4DN86
NP_000044.2	B7ZLR4
NP_001005918.1	B7ZLR4
NP_001230111.1	B7ZLR4
NP_001230180.1	B3KPX5
NP_001230180.1	Q9H5H1
NP_001187.1	A8ASI8
NP_001231496.1	A8ASI8
NP_001231878.1	Q8N1G6
NP_001239606.1	Q1RMZ4
NP_001240.1	A0A024R6D3
NP_001240.1	O75356
NP_001243057.1	A8K8I8
NP_001243239.1	Q68D38
NP_000705.2	O76068
NP_001243459.1	O76068
NP_001243460.1	O76068
NP_001243463.1	D9HTE9
NP_001180467.1	A0A024R5L4
NP_001243475.1	A0A024R5L4
NP_001243601.1	Q53HB6
NP_001243605.1	H3BST3
NP_001245200.1	Q59EG3
NP_001245313.1	A0A087X2E5
NP_001245376.1	B4DYD2
NP_001248374.1	B7Z2S5
NP_001248763.1	B3KRS4
NP_001248763.1	B4DU42
NP_001257377.1	B3KPA6
NP_000231.1	Q49A63
NP_001257387.1	Q49A63
NP_001257456.1	F8VSL7
NP_001257655.1	A0A087WX97
NP_001257656.1	A0A087WTL4
NP_001257657.1	B7Z238
NP_001257657.1	F6VJB4
NP_001257661.1	A0A0A0MR90
NP_001257662.1	B7Z737
NP_001257661.1	A8K5Y4
NP_001257663.1	A8K5Y4
NP_001257663.1	E9PDD6
NP_001257663.1	Q86T62
NP_001257664.1	A0A087WW80
NP_001257808.1	Q5TI65
NP_001257817.1	A0A0S2Z3G3
NP_001257882.1	F6RGN5
NP_001258152.2	A6NGQ3
NP_001258570.1	A0A024RCX4
NP_001258570.1	A8YXX5
NP_001258610.1	A0A087WTV6
NP_001258628.1	A0A087WW65
NP_001258677.1	B4DWI9
NP_001258677.1	B7ZA71
NP_001258692.1	B4DKP8
NP_001258692.1	E7EUN9
NP_001258824.1	U3KQG0
NP_001258866.1	A0A087WXU0
NP_001258980.1	A0A0A8K8N9
NP_001258980.1	Q4G0I0
NP_001263432.1	A0A0S2Z4H7
NP_001263996.1	A0A0A0MS29
NP_001070709.2	B3KR90
NP_001265180.2	B3KR90
NP_001265231.1	K7X1S0
NP_001265232.1	A0A024RBT2
NP_001265271.1	A0A0S2Z5P6
NP_001265520.1	Q6P5Q6
NP_001265521.1	B4E0L7
NP_001265552.1	B1Q2B0
NP_001265661.1	B4DDN8
NP_001265841.1	B4E3S4
NP_001265841.1	E7ENM0
NP_001265842.1	G5E950
NP_001265842.1	Q8NBI4
NP_001265843.1	G3V0G6
NP_001265843.1	Q6ZUN2
NP_001265846.1	E7EN65
NP_001265846.1	Q59H17
NP_001265847.1	B3KRT8
NP_001265855.1	B4DT22
NP_001265855.1	F5H7P7
NP_001265856.1	B4DP34
NP_001266285.1	B4DP64
NP_001266289.1	A0A087X1K9
NP_001267716.1	A0A087WYS9
NP_001267726.1	A0A087X004
NP_001267727.1	A0A087X004
NP_001269535.1	G3XAA5
NP_001269535.1	Q9HC19
NP_001269538.1	G3V1M2
NP_001269539.1	Q7Z782
NP_001269565.1	B8ZWD8
NP_001269655.1	B4DU97
NP_001269656.1	B4DP73
NP_001269656.1	F6RTR7
NP_001273750.1	A8K1M9
NP_001276719.1	B4DE36
NP_001277221.1	F6RWC2
NP_001278501.1	B7Z5R6
NP_001287682.1	B7Z297
NP_001287684.1	B7Z5N3
NP_001340.2	A0A140VJW5
NP_001350.1	A0A024R9D7
NP_001352.2	Q02127
NP_001356.1	B7Z647
NP_001356.1	B9EGL1
NP_001373.2	A0A024R3H8
NP_001379.1	P55039
NP_001389.2	A0A384MR44
NP_001389.2	Q13011
NP_001434.1	P07148
NP_001434.1	Q05CP7
NP_001434.1	Q6FGL7
NP_001157749.1	A0A024R3H9
NP_001157752.1	A0A024R3H9
NP_001458.1	A0A024R3H9
NP_001473.1	A0A140VK19
NP_001536.1	Q14197
NP_001598.1	A0A024R2M6
NP_001599.1	P28330
NP_001600.1	A0A0S2Z3P9
NP_001605.1	P63261
NP_001616.1	A0A140VK93
NP_001627.2	P12236
NP_001627.2	Q6I9V5
NP_001653.1	A4D0Z3
NP_001653.1	P84085
NP_001655.1	A0A024R324
NP_001655.1	P61586
NP_001655.1	Q9BVT0
NP_001658.2	Q53YD8
NP_001003696.1	Q6IB54
NP_001003697.1	Q6IB54
NP_001003703.1	Q6IB54
NP_001676.2	Q6IB54
NP_001003696.1	Q6NZ59
NP_001003697.1	Q6NZ59
NP_001003701.1	Q6NZ59
NP_001003703.1	Q6NZ59
NP_001676.2	Q6NZ59
NP_001677.2	P06576
NP_001677.2	V9HW31
NP_001001975.1	P30049
NP_001678.1	P30049
NP_001679.2	P24539
NP_001679.2	Q08ET0
NP_001002258.1	P48201
NP_001680.1	P48201
NP_001688.1	P48047
NP_001730.1	P35218
NP_001743.1	A0A384P5Q0
NP_001743.1	P04040
NP_001093205.1	A0A024RAK5
NP_001093206.1	A0A024RAK5
NP_001816.2	A0A024RAK5
NP_001093205.1	P17540
NP_001093206.1	P17540
NP_001816.2	P17540
NP_001840.3	A0A384MDP3
NP_001852.1	P13073
NP_001853.2	A0A384NL93
NP_001853.2	P10606
NP_001854.1	P14854
NP_001855.1	P24310
NP_001855.1	Q6FGI7
NP_001856.2	H0UI06
NP_001856.2	P14406
NP_001857.1	P24311
NP_001858.1	P15954
NP_001866.2	A0A024R454
NP_001116105.1	Q6PEK7
NP_001866.2	Q6PEK7
NP_001867.2	A0A024R5F4
NP_001867.2	B2RAQ8
NP_001867.2	Q8WZ48
NP_001876.1	P02511
NP_001876.1	V9HW27
NP_001900.1	P07339
NP_001900.1	V9HWI3
NP_001907.2	P08574
NP_001918.3	P17661
NP_001918.3	Q53SB5
NP_001922.2	P10515
NP_001922.2	Q86YI5
NP_001924.2	A0A024R6C9
NP_001107227.1	E5KRG5
NP_001107228.1	E5KRG5
NP_001944.1	E5KRG5
NP_001986.2	A8K9T3
NP_001159715.1	A0A024R366
NP_002003.1	A0A024R366
NP_001159715.1	P49789
NP_002003.1	P49789
NP_002023.2	A0A024R525
NP_002023.2	P02794
NP_001276674.1	V9HVZ4
NP_001276675.1	V9HVZ4
NP_002037.2	V9HVZ4
NP_002038.2	P41250
NP_001112362.1	A0A024RAM2
NP_002055.1	A0A024RAM2
NP_001112362.1	P35754
NP_002055.1	P35754
NP_002102.4	P42858
NP_002106.2	A0A024R7R1
NP_002106.2	P52790
NP_002148.1	A0A384N6A4
NP_002148.1	P61604
NP_002188.1	P21399
NP_002188.1	V9HWB7
NP_001093422.2	B4DER3
NP_002213.5	B4DER3
NP_002213.5	B4DGH1
NP_001093422.2	Q59H91
NP_002213.5	Q59H91
NP_002216.2	A0A0A0MT83
NP_001152980.1	P26440
NP_002216.2	P26440
NP_002232.2	P78508
NP_002234.2	Q99712
NP_002282.2	P07942
NP_002282.2	Q8TAS6
NP_002284.3	P11047
NP_002284.3	Q6NVY8
NP_001167568.1	P07195
NP_002291.1	P07195
NP_001167568.1	Q5U077
NP_002291.1	Q5U077
NP_002399.1	Q10469
NP_002428.1	A0A0S2Z3Z9
NP_002428.1	P39210
NP_001005369.1	P46199
NP_002444.2	P46199
NP_001005369.1	Q6P1N2
NP_002444.2	Q6P1N2
NP_002462.2	P13533
NP_002464.1	A0A024R1N1
NP_002480.1	A0A024R9Z0
NP_002480.1	O00483
NP_002481.2	A0A2Y9D025
NP_002481.2	P56556
NP_001244031.1	A0A024R413
NP_002482.1	A0A024R413
NP_001244031.1	O43676
NP_002482.1	O43676
NP_001171915.1	O43677
NP_001171916.1	O43677
NP_001171917.1	O43677
NP_001171918.1	O43677
NP_001171919.1	O43677
NP_001171920.1	O43677
NP_002485.1	O43677
NP_002486.1	A0A0S2Z433
NP_002486.1	O43181
NP_002487.1	O00217
NP_002491.2	A0A0S2Z493
NP_002491.2	Q13562
NP_001018147.1	Q6FHN3
NP_001018148.1	Q6FHN3
NP_001018149.1	Q6FHN3
NP_002503.1	Q6FHN3
NP_002504.2	Q13232
NP_002515.1	P01111
NP_002515.1	Q5U091
NP_001095132.1	Q6UUU9
NP_001229290.1	Q6UUU9
NP_002516.2	Q6UUU9
NP_002519.1	E5KTI5
NP_001158508.1	B4E3E9
NP_002532.2	B4E3E9
NP_002533.1	E5KPN1
NP_002603.1	A4D1H4
NP_002603.1	Q16654
NP_002609.1	Q92968
NP_001268425.1	A8K401
NP_001268644.1	A8K401
NP_002625.1	A8K401
NP_002625.1	Q53FV0
NP_002658.1	P26678
NP_002658.1	Q5R352
NP_001119603.1	E5KNU5
NP_002684.1	E5KNU5
NP_001119603.1	P54098
NP_002684.1	P54098
NP_002691.1	Q15319
NP_002769.1	A0A024QZQ2
NP_002782.1	A0A140VK44
NP_002821.1	P29074
NP_002897.1	B0YJ88
NP_002897.1	Q6PKD3
NP_002927.2	E5KN15
NP_002927.2	O60930
NP_002940.2	P52815
NP_002964.3	Q99700
NP_002970.2	A0A384NY87
NP_002970.2	B2R761
NP_001007100.1	Q59HG9
NP_001007101.1	Q59HG9
NP_001007251.1	Q59HG9
NP_001180528.1	Q59HG9
NP_001180529.1	Q59HG9
NP_001180546.1	Q59HG9
NP_002970.2	Q59HG9
NP_002991.2	P21912
NP_002992.1	A0A0S2Z4B7
NP_002993.1	A0A0S2Z4J3
NP_001159968.1	A0A024R0H1
NP_003042.3	A0A024R0H1
NP_003050.2	Q9H015
NP_003055.1	P03973
NP_003063.2	A7E2E1
NP_003115.1	P35270
NP_001243439.1	A4D1U3
NP_001243440.1	A4D1U3
NP_001243441.1	A4D1U3
NP_001243442.1	A4D1U3
NP_003134.1	A4D1U3
NP_001243439.1	Q04837
NP_001243440.1	Q04837
NP_001243441.1	Q04837
NP_001243442.1	Q04837
NP_003134.1	Q04837
NP_003162.2	Q8IYB8
NP_003163.1	E5KRX5
NP_003192.1	E5KSU5
NP_003246.1	A0A140VK57
NP_003246.1	P16035
NP_003271.1	P63316
NP_003271.1	Q6FH91
NP_001257412.1	A0A384NKQ2
NP_003303.2	A0A384NKQ2
NP_001257412.1	Q16762
NP_003303.2	Q16762
NP_003312.3	A0A384ME17
NP_003312.3	P49411
NP_003313.3	Q0QD38
NP_003320.2	H9ZYJ2
NP_003346.2	A0A024R5N5
NP_003346.2	P55851
NP_003347.1	A0A0S2Z4G5
NP_003353.1	E5KTA6
NP_003356.2	P31930
NP_003357.2	P22695
NP_003365.1	B3KTS5
NP_001171752.1	A0A024QZT0
NP_003366.2	A0A024QZT0
NP_003375.1	Q99986
NP_003457.1	R9W7C9
NP_003467.1	A2TDB8
NP_001229831.1	A0A140VK05
NP_001229832.1	A0A140VK05
NP_003479.1	A0A140VK05
NP_001158889.1	Q6IBH0
NP_001158890.1	Q6IBH0
NP_003553.2	Q6IBH0
NP_001189431.1	Q9BPW8
NP_003625.2	Q9BPW8
NP_003650.1	O00116
NP_003664.1	A2TDC0
NP_003664.1	O15273
NP_003670.2	A8K693
NP_003680.2	O43488
NP_003680.2	V9HWA2
NP_003752.2	Q9BV40
NP_003767.2	Q9NQ50
NP_003824.2	A2RRP8
NP_003824.2	B3KQB2
NP_003837.1	A0A024R4E7
NP_003840.2	P53597
NP_003841.1	E5KS60
NP_003841.1	Q9Y4T0
NP_003850.1	A0A0S2Z4Y5
NP_003850.1	O60762
NP_003867.1	P17152
NP_003912.1	O95999
NP_003995.2	H9U1J4
NP_003995.2	P29033
NP_003997.1	P11532
NP_004035.2	V9HWH7
NP_001001937.1	V9HW26
NP_004037.1	V9HW26
NP_004043.3	Q12983
NP_004043.3	Q6NVY4
NP_004065.1	P10176
NP_004065.1	Q53XN1
NP_004066.1	A2I2P0
NP_004066.1	Q16526
NP_004068.2	A0A024RB75
NP_004068.2	O75390
NP_004076.1	O60220
NP_004083.3	P30084
NP_004090.4	A0A024R882
NP_004095.4	P49327
NP_004100.1	P10109
NP_004125.3	A0A384P5G6
NP_004125.3	P38646
NP_004127.1	D3DW85
NP_004137.2	P17568
NP_004159.2	A0A024QZ30
NP_004194.3	Q0IJ49
NP_004246.2	P20674
NP_004251.3	O94761
NP_004270.2	B3KM34
NP_004270.2	O75439
NP_004270.2	Q96CP5
NP_004272.2	O95817
NP_004274.1	A0A024R7G2
NP_004274.1	O95716
NP_004282.1	Q16568
NP_004290.2	A0A0S2Z2Z3
NP_001073335.1	A0A024R445
NP_004319.1	A0A024R445
NP_001073335.1	Q9Y276
NP_004319.1	Q9Y276
NP_004322.1	Q6IBV1
NP_004323.2	Q49AI2
NP_004324.2	P15056
NP_004360.2	D9ZGF2
NP_004360.2	Q63HQ4
NP_004360.2	Q8N4Z1
NP_004364.2	H6SG15
NP_004364.2	P12074
NP_004365.1	A0A024R9B7
NP_004365.1	P09669
NP_001156333.1	B4DEY8
NP_001156334.1	B4DEY8
NP_004366.1	B4DEY8
NP_004400.4	E5KR06
NP_004406.2	B4DKX6
NP_004426.2	E5KNL5
NP_004426.2	Q14249
NP_004444.2	B4DEQ0
NP_004474.2	P23434
NP_004484.1	A0A0S2Z410
NP_004522.1	A0A024QZS1
NP_004522.1	O96007
NP_004532.1	O15239
NP_004532.1	Q6IBB5
NP_004533.1	O95167
NP_004533.1	Q6FGG4
NP_004537.1	A4D1T5
NP_004537.1	O95178
NP_004539.1	A8K761
NP_004540.1	A0A024R5K6
NP_001171908.1	O43920
NP_004543.1	O43920
NP_001171908.1	Q6IBA0
NP_004543.1	Q6IBA0
NP_004544.1	O75380
NP_004544.1	Q6IBC4
NP_004559.4	A0A024QZX3
NP_004559.4	P35237
NP_004580.1	O75880
NP_001166115.1	Q8IZR3
NP_001166116.1	Q8IZR3
NP_004605.4	Q8IZR3
NP_004654.1	A0A024R5Z8
NP_004691.2	B3KQH8
NP_004709.2	O14548
NP_004709.2	Q6FGA0
NP_001177921.1	O00400
NP_004724.1	O00400
NP_004773.1	O95721
NP_004811.1	O75881
NP_004811.1	Q05C57
NP_004823.1	V9HWG9
NP_004827.4	B3KY45
NP_004827.4	Q9NZJ5
NP_004854.1	A0A024R6H1
NP_004854.1	O15270
NP_004861.2	A0A0S2Z4W8
NP_004896.1	P30041
NP_004896.1	V9HWC7
NP_004918.1	A0A024R578
NP_004918.1	Q13405
NP_004928.2	A0A0S2Z3K3
NP_004968.2	Q14003
NP_004975.2	Q12840
NP_004983.1	D3YJ43
NP_001104262.1	Q59FJ6
NP_004983.1	Q59FJ6
NP_004991.1	A0A024R745
NP_004992.2	O95182
NP_004993.1	Q16795
NP_004994.1	O14561
NP_004996.1	Q9Y6M9
NP_004997.4	E5KRK5
NP_005006.3	J3KNA0
NP_005006.3	Q15070
NP_005006.3	Q2M1J6
NP_005026.3	O00411
NP_005026.3	Q4G0F4
NP_005028.4	D2KUA6
NP_005028.4	E9PFV2
NP_005028.4	P37231
NP_001162580.1	O43819
NP_001162581.1	O43819
NP_001162582.1	O43819
NP_005129.2	O43819
NP_005138.3	Q53G26
NP_005138.3	Q59E88
NP_005150.1	B3KPP5
NP_005150.1	P68032
NP_005155.1	Q9UBJ2
NP_001001973.1	Q8TAS0
NP_005165.1	Q8TAS0
NP_001002027.1	P05496
NP_005166.1	P05496
NP_001002027.1	Q6FIH7
NP_005166.1	Q6FIH7
NP_005189.2	A0A024R4X4
NP_005196.1	Q02221
NP_005240.3	P55316
NP_005262.1	E9KL48
NP_005265.1	P63218
NP_005267.2	A0A024R138
NP_005318.3	A0A140VK76
NP_001116080.1	A0A024RBY9
NP_001165462.1	A0A024RBY9
NP_005324.3	A0A024RBY9
NP_001116080.1	P53701
NP_001165462.1	P53701
NP_005324.3	P53701
NP_005331.1	A0A384NPU2
NP_005331.1	P49773
NP_005370.1	Q9UBC5
NP_005381.1	P29803
NP_001159828.1	Q5BJF5
NP_001159829.1	Q5BJF5
NP_001159830.1	Q5BJF5
NP_001159831.1	Q5BJF5
NP_005403.2	Q5BJF5
NP_005403.2	V9HW06
NP_005413.2	O75443
NP_001138734.1	A0A024QZI5
NP_001138735.1	A0A024QZI5
NP_005428.1	A0A024QZI5
NP_001138732.1	Q96E88
NP_001138733.1	Q96E88
NP_001138734.1	Q96E88
NP_001138735.1	Q96E88
NP_005428.1	Q96E88
NP_005447.1	Q6NUQ9
NP_005447.1	Q9UQF2
NP_005495.2	A0A024RAV0
NP_005509.1	A0A140VJL2
NP_005519.2	Q9NNZ3
NP_005535.1	P35568
NP_005557.1	V9HWB9
NP_005580.1	A0A024R6G4
NP_001020241.1	P62263
NP_001020242.1	P62263
NP_005608.1	P62263
NP_005620.1	X5D9C4
NP_005682.2	A0A024RAV7
NP_005683.2	A0A090N7Y2
NP_005685.1	Q14061
NP_005700.2	A0A0S2Z4U9
NP_005717.3	E5KS95
NP_005720.1	A0A024QZS4
NP_005754.2	A4D0W4
NP_005754.2	Q9UDR5
NP_005784.1	A0A0C4DG91
NP_005784.1	O75414
NP_005800.3	V9HW12
NP_005821.2	Q92665
NP_005827.1	A0A024R9H2
NP_005827.1	P52758
NP_005872.2	A0A024QZA9
NP_005879.1	A0A024RBH9
NP_005887.2	A0A024R3Y6
NP_005887.2	O75874
NP_005896.1	A0A024RDR3
NP_005901.2	A0A024RA17
NP_005903.2	P32245
NP_005908.1	V9HWF2
NP_005909.2	A0A024R4K3
NP_005909.2	B3KTM1
NP_005923.2	Q99797
NP_005947.3	A0A384N5Y3
NP_005947.3	P11586
NP_005973.1	Q15475
NP_005975.1	P53007
NP_005987.3	A0A024RBQ4
NP_005994.2	P47985
NP_005995.2	P07919
NP_001139325.1	A0A0S2Z4V6
NP_005996.2	A0A0S2Z4V6
NP_001139325.1	O76024
NP_005996.2	O76024
NP_006003.1	Q16740
NP_006010.2	A0A024R5E5
NP_006011.2	Q13686
NP_006011.2	Q5XKL0
NP_006077.2	Q53G92
NP_006102.2	B3KNP8
NP_006102.2	P42765
NP_006109.2	A0A0S2Z591
NP_006149.2	P07196
NP_006184.2	O43316
NP_006199.2	P22413
NP_006209.2	P42336
NP_006293.2	A0A384MDR6
NP_006318.1	O14925
NP_006321.1	Q6IAQ1
NP_006326.1	Q99595
NP_006336.3	A0A0S2Z514
NP_006336.3	Q6PML9
NP_006342.2	O43615
NP_006347.1	A0PJH2
NP_001269656.1	O43808
NP_006349.1	O43808
NP_006388.2	O75792
NP_006397.1	Q13162
NP_006397.1	V9HW63
NP_006423.1	A0A024R6C0
NP_006467.4	O75964
NP_006484.1	A0A024R644
NP_006484.1	O75503
NP_006504.2	P49591
NP_006504.2	Q0VGA5
NP_006507.2	P11166
NP_006507.2	Q59GX2
